SubName;Class;Color;Size;totalSellAmt;totalCosts;totalQuantity;totalGrossProfit
Mountain Bikes;"H ";Black;38;1809179,926;1706450,5119;1363;102729,4141
Mountain Bikes;"H ";Black;42;1739911,1873;1621315,7835;1295;118595,4038
Mountain Bikes;"H ";Black;46;1350095,8752;1209413,9358;966;140681,9394
Mountain Bikes;"H ";Black;NULL;4899186,9885;4537180,2312;3624;362006,7573
Mountain Bikes;"H ";Silver;38;1530625,0072;1414962,601;1118;115662,4062
Mountain Bikes;"H ";Silver;42;1519788,1685;1409900,123;1114;109888,0455
Mountain Bikes;"H ";Silver;46;1528008,3894;1407368,884;1112;120639,5054
Mountain Bikes;"H ";Silver;NULL;4578421,5651;4232231,608;3344;346189,9571
Mountain Bikes;"H ";NULL;NULL;9477608,5536;8769411,8392;6968;708196,7144
Mountain Bikes;NULL;NULL;NULL;9477608,5536;8769411,8392;6968;708196,7144
Road Bikes;"H ";Black;44;1254395,8239;1362134,3604;876;-107738,5365
Road Bikes;"H ";Black;48;1149797,7522;1220634,1015;785;-70836,3493
Road Bikes;"H ";Black;52;1037551,125;1054254,6762;678;-16703,5512
Road Bikes;"H ";Black;58;763110,5625;757259,6273;487;5850,9352
Road Bikes;"H ";Black;NULL;4204855,2636;4394282,7654;2826;-189427,5018
Road Bikes;"H ";Red;58;822012,75;799243,2206;514;22769,5294
Road Bikes;"H ";Red;NULL;822012,75;799243,2206;514;22769,5294
Road Bikes;"H ";NULL;NULL;5026868,0136;5193525,986;3340;-166657,9724
Road Bikes;"M ";Yellow;38;535907,5576;603265,5108;846;-67357,9532
Road Bikes;"M ";Yellow;40;466203,875;521974,4136;732;-55770,5386
Road Bikes;"M ";Yellow;42;373363,275;410733,9648;576;-37370,6898
Road Bikes;"M ";Yellow;44;283523,9875;300206,5958;421;-16682,6083
Road Bikes;"M ";Yellow;48;536593,8582;606117,83;850;-69523,9718
Road Bikes;"M ";Yellow;NULL;2195592,5533;2442298,315;3425;-246705,7617
Road Bikes;"M ";NULL;NULL;2195592,5533;2442298,315;3425;-246705,7617
Road Bikes;NULL;NULL;NULL;7222460,5669;7635824,301;6765;-413363,7341
