SubName;Class;Color;Size;totalSellAmt;totalCosts;totalQuantity;totalGrossProfit
Mountain Bikes;"M ";Black;38;442477,0866;409329,8136;684;33147,273
Mountain Bikes;"M ";Black;40;501648,8745;464385,8704;776;37263,0041
Mountain Bikes;"M ";Black;44;484051,518;447031,2438;747;37020,2742
Mountain Bikes;"M ";Black;48;479071,8999;442842,196;740;36229,7039
Mountain Bikes;"M ";Black;NULL;1907249,379;1763589,1238;2947;143660,2552
Mountain Bikes;"M ";NULL;NULL;1907249,379;1763589,1238;2947;143660,2552
Mountain Bikes;NULL;NULL;NULL;1907249,379;1763589,1238;2947;143660,2552
Road Bikes;"H ";Red;44;1448122,4784;1359313,828;895;88808,6504
Road Bikes;"H ";Red;48;1343481,8611;1228698,1976;809;114783,6635
Road Bikes;"H ";Red;52;1066766,61;970504,5096;639;96262,1004
Road Bikes;"H ";Red;NULL;3858370,9495;3558516,5352;2343;299854,4143
Road Bikes;"H ";NULL;NULL;3858370,9495;3558516,5352;2343;299854,4143
Road Bikes;"L ";Black;44;362853,852;362596,417;745;257,435
Road Bikes;"L ";Black;48;222995,552;217071,1436;446;5924,4084
Road Bikes;"L ";Black;52;723179,7441;743687,6848;1528;-20507,9407
Road Bikes;"L ";Black;58;618769,5128;626391,3942;1287;-7621,8814
Road Bikes;"L ";Black;60;368516,1225;366490,0698;753;2026,0527
Road Bikes;"L ";Black;62;223465,346;217557,8502;447;5907,4958
Road Bikes;"L ";Black;NULL;2519780,1294;2533794,5596;5206;-14014,4302
Road Bikes;"L ";Red;44;626604,3455;738333,9122;1517;-111729,5667
Road Bikes;"L ";Red;48;623263,1714;631745,1668;1298;-8481,9954
Road Bikes;"L ";Red;52;374582,416;374764,082;770;-181,666
Road Bikes;"L ";Red;58;224874,728;215124,3172;442;9750,4108
Road Bikes;"L ";Red;60;703387,0079;730059,90;1500;-26672,8921
Road Bikes;"L ";Red;62;621815,9704;630285,047;1295;-8469,0766
Road Bikes;"L ";Red;NULL;3174527,6392;3320312,4252;6822;-145784,786
Road Bikes;"L ";NULL;NULL;5694307,7686;5854106,9848;12028;-159799,2162
Road Bikes;NULL;NULL;NULL;9552678,7181;9412623,52;14371;140055,1981
