SubName;TerritoryID;Size;Color;Class;totalSellAmt;totalCosts;totalQuantity;totalGrossProfit
NULL;1;NULL;NULL;"H ";327459,7212;300719,7072;198;26740,014
NULL;1;NULL;NULL;"L ";499502,5184;504228,0376;1036;-4725,5192
NULL;1;NULL;NULL;"M ";362534,4984;336320,6948;562;26213,8036
NULL;1;NULL;NULL;NULL;1189496,738;1141268,4396;1796;48228,2984
NULL;2;NULL;NULL;"H ";325454,22;337170,5808;222;-11716,3608
NULL;2;NULL;NULL;"L ";674243,0247;717892,235;1475;-43649,2103
NULL;2;NULL;NULL;"M ";218271,1626;202271,1652;338;15999,9974
NULL;2;NULL;NULL;NULL;1217968,4073;1257333,981;2035;-39365,5737
NULL;3;NULL;NULL;"H ";288803,97;299200,9208;197;-10396,9508
NULL;3;NULL;NULL;"L ";632692,8771;667761,4552;1372;-35068,5781
NULL;3;NULL;NULL;"M ";165886,464;153199,4624;256;12687,0016
NULL;3;NULL;NULL;NULL;1087383,3111;1120161,8384;1825;-32778,5273
NULL;4;NULL;NULL;"H ";921810,4723;917346,9856;604;4463,4867
NULL;4;NULL;NULL;"L ";1579550,1573;1638741,1222;3367;-59190,9649
NULL;4;NULL;NULL;"M ";457483,764;422495,3924;706;34988,3716
NULL;4;NULL;NULL;NULL;2958844,3936;2978583,5002;4677;-19739,1066
NULL;5;NULL;NULL;"H ";252153,72;261231,2608;172;-9077,5408
NULL;5;NULL;NULL;"L ";477767,4215;505201,4508;1038;-27434,0293
NULL;5;NULL;NULL;"M ";156814,548;144821,3668;242;11993,1812
NULL;5;NULL;NULL;NULL;886735,6895;911254,0784;1452;-24518,3889
NULL;6;NULL;NULL;"H ";658238,49;648521,7928;427;9716,6972
NULL;6;NULL;NULL;"L ";1037514,9128;1096063,2632;2252;-58548,3504
NULL;6;NULL;NULL;"M ";353156,73;326147,293;545;27009,437
NULL;6;NULL;NULL;NULL;2048910,1328;2070732,349;3224;-21822,2162
NULL;7;NULL;NULL;"H ";307953,726;267306,4064;176;40647,3196
NULL;7;NULL;NULL;"L ";343551,7388;347021,8058;713;-3470,067
NULL;7;NULL;NULL;"M ";73223,322;67623,2002;113;5600,1218
NULL;7;NULL;NULL;NULL;724728,7868;681951,4124;1002;42777,3744
NULL;8;NULL;NULL;"H ";144157,65;89608,3976;59;54549,2524
NULL;8;NULL;NULL;"L ";46979,40;29202,396;60;17777,004
NULL;8;NULL;NULL;NULL;191137,05;118810,7936;119;72326,2564
NULL;9;NULL;NULL;"H ";386049,30;239968,2512;158;146081,0488
NULL;9;NULL;NULL;"L ";125278,40;77873,056;160;47405,344
NULL;9;NULL;NULL;NULL;511327,70;317841,3072;318;193486,3928
NULL;10;NULL;NULL;"H ";246289,68;197442,232;130;48847,448
NULL;10;NULL;NULL;"L ";277227,318;270122,163;555;7105,155
NULL;10;NULL;NULL;"M ";119878,89;110710,549;185;9168,341
NULL;10;NULL;NULL;NULL;643395,888;578274,944;870;65120,944
NULL;8;58;NULL;NULL;10961,86;6813,8924;14;4147,9676
NULL;1;48;NULL;NULL;270741,8304;249773,7072;347;20968,1232
NULL;7;60;NULL;NULL;69763,6259;72032,5768;148;-2268,9509
NULL;2;62;NULL;NULL;97177,437;102208,386;210;-5030,949
NULL;4;40;NULL;NULL;130246,794;120285,5154;201;9961,2786
NULL;8;48;NULL;NULL;63932,57;39740,4866;35;24192,0834
NULL;6;52;NULL;NULL;432510,8738;441164,9054;635;-8654,0316
NULL;6;44;NULL;NULL;506920,4684;523863,7222;733;-16943,2538
NULL;4;38;NULL;NULL;102383,052;94552,7932;158;7830,2588
NULL;8;52;NULL;NULL;45357,52;28194,2352;24;17163,2848
NULL;9;60;NULL;NULL;15659,80;9734,132;20;5925,668
NULL;6;40;NULL;NULL;88775,178;81985,6498;137;6789,5282
NULL;3;58;NULL;NULL;93686,6325;97341,32;200;-3654,6875
NULL;4;44;NULL;NULL;754430,9511;781388,36;1070;-26957,4089
NULL;2;60;NULL;NULL;131580,1384;138711,381;285;-7131,2426
NULL;9;62;NULL;NULL;19574,75;12167,665;25;7407,085
NULL;6;38;NULL;NULL;87479,19;80788,779;135;6690,411
NULL;4;62;NULL;NULL;238815,8654;240433,0604;494;-1617,195
NULL;10;58;NULL;NULL;40393,8275;38936,528;80;1457,2995
NULL;3;48;NULL;NULL;240613,998;243971,455;350;-3357,457
NULL;1;52;NULL;NULL;185121,274;177039,5858;245;8081,6882
NULL;4;48;NULL;NULL;702217,9102;694902,563;906;7315,3472
NULL;3;52;NULL;NULL;201248,0671;210176,9274;294;-8928,8603
NULL;4;60;NULL;NULL;278642,3375;286183,4808;588;-7541,1433
NULL;6;58;NULL;NULL;139239,7375;142605,0338;293;-3365,2963
NULL;1;40;NULL;NULL;92492,0712;86174,6976;144;6317,3736
NULL;7;38;NULL;NULL;19439,82;17953,062;30;1486,758
NULL;3;44;NULL;NULL;240895,0473;253881,5658;362;-12986,5185
NULL;10;52;NULL;NULL;133768,31;115127,8882;139;18640,4218
NULL;1;44;NULL;NULL;295708,6806;292305,8914;400;3402,7892
NULL;2;38;NULL;NULL;47576,1513;44284,2196;74;3291,9317
NULL;5;52;NULL;NULL;161748,314;167246,7872;227;-5498,4732
NULL;6;60;NULL;NULL;197241,8363;205390,1852;422;-8148,3489
NULL;3;40;NULL;NULL;43415,598;40095,1718;67;3320,4262
NULL;8;44;NULL;NULL;56008,29;34814,754;27;21193,536
