ProductID;ListPrice;StandardCost;Color;Size;Weight;Style;class;BikeName;ModelName;SubName;CatName;UnitPrice;UnitPriceDiscount;OrderQty;SalesOrderID;TotalDue;SubTotal;TerritoryID;OrderDate;SellStartDate;SellEndDate
786;1079,99;598,4354;Black;40;25.77;"U ";"M ";Mountain-300 Black, 40;Mountain-300;Mountain Bikes;Bikes;647,994;0,00;3;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
787;1079,99;598,4354;Black;44;26.13;"U ";"M ";Mountain-300 Black, 44;Mountain-300;Mountain Bikes;Bikes;647,994;0,00;7;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
788;1079,99;598,4354;Black;48;26.42;"U ";"M ";Mountain-300 Black, 48;Mountain-300;Mountain Bikes;Bikes;647,994;0,00;3;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
815;60,745;26,9708;Black;NULL;NULL;NULL;"L ";LL Mountain Front Wheel;LL;Wheels;Components;36,447;0,00;2;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
816;209,025;92,8071;Black;NULL;NULL;NULL;"M ";ML Mountain Front Wheel;ML;Wheels;Components;125,415;0,00;4;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
823;87,745;38,9588;Black;NULL;NULL;NULL;"L ";LL Mountain Rear Wheel;LL;Wheels;Components;52,647;0,00;4;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
825;327,215;145,2835;Black;NULL;NULL;NULL;"H ";HL Mountain Rear Wheel;HL;Wheels;Components;196,329;0,00;2;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
857;89,99;37,1209;Multi;L;NULL;"M ";NULL;Men's Bib-Shorts, L;Men's;Bib-Shorts;Clothing;53,994;0,00;3;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
844;19,99;8,2459;NULL;NULL;NULL;NULL;NULL;Minipump;;Pumps;Accessories;11,994;0,00;5;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
725;337,22;187,1571;Red;44;2.32;"U ";"L ";LL Road Frame - Red, 44;LL;Road Frames;Components;202,332;0,00;3;46605;6700,5716;5948,2999;3;2012-05-30 00:00:00.000;2011-05-31 00:00:00.000;2013-05-29 00:00:00.000
820;330,06;146,5466;Black;NULL;650.00;NULL;"H ";HL Road Front Wheel;HL;Wheels;Components;198,036;0,00;1;46605;6700,5716;5948,2999;3;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
766;782,99;486,7066;Black;60;19.90;"U ";"L ";Road-650 Black, 60;Road-650;Road Bikes;Bikes;469,794;0,00;5;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2011-05-31 00:00:00.000;2013-05-29 00:00:00.000
764;782,99;486,7066;Red;52;19.42;"U ";"L ";Road-650 Red, 52;Road-650;Road Bikes;Bikes;469,794;0,00;9;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2011-05-31 00:00:00.000;2013-05-29 00:00:00.000
827;275,385;122,2709;Black;NULL;1000.00;NULL;"M ";ML Road Rear Wheel;ML;Wheels;Components;165,231;0,00;2;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
789;2443,35;1518,7864;Red;44;14.77;"U ";"H ";Road-250 Red, 44;Road-250;Road Bikes;Bikes;1466,01;0,00;6;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
791;2443,35;1518,7864;Red;52;15.42;"U ";"H ";Road-250 Red, 52;Road-250;Road Bikes;Bikes;1466,01;0,00;3;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
768;782,99;486,7066;Black;44;18.77;"U ";"L ";Road-650 Black, 44;Road-650;Road Bikes;Bikes;469,794;0,00;6;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2011-05-31 00:00:00.000;2013-05-29 00:00:00.000
725;337,22;187,1571;Red;44;2.32;"U ";"L ";LL Road Frame - Red, 44;LL;Road Frames;Components;202,332;0,00;2;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2011-05-31 00:00:00.000;2013-05-29 00:00:00.000
759;782,99;486,7066;Red;58;19.79;"U ";"L ";Road-650 Red, 58;Road-650;Road Bikes;Bikes;469,794;0,00;1;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2011-05-31 00:00:00.000;2013-05-29 00:00:00.000
727;337,22;187,1571;Red;52;2.40;"U ";"L ";LL Road Frame - Red, 52;LL;Road Frames;Components;202,332;0,00;3;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2011-05-31 00:00:00.000;2013-05-29 00:00:00.000
820;330,06;146,5466;Black;NULL;650.00;NULL;"H ";HL Road Front Wheel;HL;Wheels;Components;198,036;0,00;6;46607;135606,6769;120182,185;6;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
786;1079,99;598,4354;Black;40;25.77;"U ";"M ";Mountain-300 Black, 40;Mountain-300;Mountain Bikes;Bikes;647,994;0,00;2;46608;53379,5867;47404,3026;6;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
