SubName;Class;Color;Size;totalSellAmt;totalCosts;totalQuantity;totalGrossProfit
Mountain Bikes;"H ";Black;38;2591412,8756;2020697,8182;1614;570715,0574
Mountain Bikes;"H ";Black;42;2269583,5755;1713962,3997;1369;555621,1758
Mountain Bikes;"H ";Black;46;1959577,3421;1433518,5885;1145;526058,7536
Mountain Bikes;"H ";Black;NULL;6820573,7932;5168178,8064;4128;1652394,9868
Mountain Bikes;"H ";Silver;38;2163053,0158;1614930,482;1276;548122,5338
Mountain Bikes;"H ";Silver;42;1918690,6907;1417493,84;1120;501196,8507
Mountain Bikes;"H ";Silver;46;1906248,5508;1397243,928;1104;509004,6228
Mountain Bikes;"H ";Silver;NULL;5987992,2573;4429668,25;3500;1558324,0073
Mountain Bikes;"H ";NULL;NULL;12808566,0505;9597847,0564;7628;3210718,9941
Mountain Bikes;NULL;NULL;NULL;12808566,0505;9597847,0564;7628;3210718,9941
Road Bikes;"H ";Black;44;1262461,4925;1191090,0914;766;71371,4011
Road Bikes;"H ";Black;48;1197858,2011;1108677,8527;713;89180,3484
Road Bikes;"H ";Black;52;974896,65;881655,4593;567;93241,1907
Road Bikes;"H ";Black;58;743267,07;657742,9617;423;85524,1083
Road Bikes;"H ";Black;NULL;4178483,4136;3839166,3651;2469;339317,0485
Road Bikes;"H ";Red;58;764995,4325;671737,4928;432;93257,9397
Road Bikes;"H ";Red;NULL;764995,4325;671737,4928;432;93257,9397
Road Bikes;"H ";NULL;NULL;4943478,8461;4510903,8579;2901;432574,9882
Road Bikes;"M ";Yellow;38;692002,5225;640345,6604;898;51656,8621
Road Bikes;"M ";Yellow;40;605087,906;547645,2864;768;57442,6196
Road Bikes;"M ";Yellow;42;558676,314;479902,7054;673;78773,6086
Road Bikes;"M ";Yellow;44;434301,924;360818,3788;506;73483,5452
Road Bikes;"M ";Yellow;48;697345,0185;651041,8574;913;46303,1611
Road Bikes;"M ";Yellow;NULL;2987413,685;2679753,8884;3758;307659,7966
Road Bikes;"M ";NULL;NULL;2987413,685;2679753,8884;3758;307659,7966
Road Bikes;NULL;NULL;NULL;7930892,5311;7190657,7463;6659;740234,7848
