SubName;TerritoryID;Size;Color;Class;totalSellAmt;totalCosts;totalQuantity;totalGrossProfit
NULL;1;NULL;NULL;"H ";2824205,9924;2299344,8353;1769;524861,1571
NULL;1;NULL;NULL;"M ";318112,489;275961,8826;387;42150,6064
NULL;1;NULL;NULL;NULL;3142318,4814;2575306,7179;2156;567011,7635
NULL;2;NULL;NULL;"H ";592608,278;576606,2711;417;16002,0069
NULL;2;NULL;NULL;"M ";174124,146;184687,6682;259;-10563,5222
NULL;2;NULL;NULL;NULL;766732,424;761293,9393;676;5438,4847
NULL;3;NULL;NULL;"H ";1186946,7265;1151307,3769;847;35639,3496
NULL;3;NULL;NULL;"M ";223201,608;236742,4936;332;-13540,8856
NULL;3;NULL;NULL;NULL;1410148,3345;1388049,8705;1179;22098,464
NULL;4;NULL;NULL;"H ";3684276,1769;2976482,7735;2199;707793,4034
NULL;4;NULL;NULL;"M ";768207,944;718784,4384;1008;49423,5056
NULL;4;NULL;NULL;NULL;4452484,1209;3695267,2119;3207;757216,909
NULL;5;NULL;NULL;"H ";781699,6746;754474,2431;553;27225,4315
NULL;5;NULL;NULL;"M ";166728,912;176843,7904;248;-10114,8784
NULL;5;NULL;NULL;NULL;948428,5866;931318,0335;801;17110,5531
NULL;6;NULL;NULL;"H ";2225137,181;1943608,3912;1466;281528,7898
NULL;6;NULL;NULL;"M ";324328,5195;315894,3514;443;8434,1681
NULL;6;NULL;NULL;NULL;2549465,7005;2259502,7426;1909;289962,9579
NULL;7;NULL;NULL;"H ";1456504,0474;1093552,6834;824;362951,364
NULL;7;NULL;NULL;"M ";192500,182;167573,753;235;24926,429
NULL;7;NULL;NULL;NULL;1649004,2294;1261126,4364;1059;387877,793
NULL;8;NULL;NULL;"H ";1036556,0296;671274,3104;508;365281,7192
NULL;8;NULL;NULL;"M ";149249,268;111240,4488;156;38008,8192
NULL;8;NULL;NULL;NULL;1185805,2976;782514,7592;664;403290,5384
NULL;9;NULL;NULL;"H ";2185540,2745;1317091,3084;958;868448,9661
NULL;9;NULL;NULL;"M ";370882,19;236029,4138;331;134852,7762
NULL;9;NULL;NULL;NULL;2556422,4645;1553120,7222;1289;1003301,7423
NULL;10;NULL;NULL;"H ";1778570,5157;1325008,721;988;453561,7947
NULL;10;NULL;NULL;"M ";300078,4265;255995,6482;359;44082,7783
NULL;10;NULL;NULL;NULL;2078648,9422;1581004,3692;1347;497644,573
NULL;1;38;NULL;NULL;892654,3288;720502,1885;605;172152,1403
NULL;2;38;NULL;NULL;169643,346;161471,292;159;8172,054
NULL;3;38;NULL;NULL;315455,1576;295252,491;267;20202,6666
NULL;4;38;NULL;NULL;1086723,5196;837241,5377;765;249481,9819
NULL;5;38;NULL;NULL;326722,9746;304579,4197;275;22143,5549
NULL;6;38;NULL;NULL;777815,6295;666965,0759;582;110850,5536
NULL;7;38;NULL;NULL;466524,0981;357785,7035;312;108738,3946
NULL;8;38;NULL;NULL;325089,13;208797,2042;181;116291,9258
NULL;9;38;NULL;NULL;539366,9462;321914,6682;283;217452,278
NULL;10;38;NULL;NULL;546473,2835;401464,3799;359;145008,9036
NULL;1;40;NULL;NULL;56472,696;48489,4264;68;7983,2696
NULL;2;40;NULL;NULL;40337,64;42784,788;60;-2447,148
NULL;3;40;NULL;NULL;43026,816;45637,1072;64;-2610,2912
NULL;4;40;NULL;NULL;157989,09;151885,9974;213;6103,0926
NULL;5;40;NULL;NULL;30925,524;32801,6708;46;-1876,1468
NULL;6;40;NULL;NULL;66781,204;65603,3416;92;1177,8624
NULL;7;40;NULL;NULL;36527,974;32088,591;45;4439,383
NULL;8;40;NULL;NULL;31149,622;22105,4738;31;9044,1482
NULL;9;40;NULL;NULL;73952,34;47063,2668;66;26889,0732
NULL;10;40;NULL;NULL;67925,00;59185,6234;83;8739,3766
NULL;1;42;NULL;NULL;848684,7206;672483,465;567;176201,2556
NULL;2;42;NULL;NULL;158081,816;146153,7164;130;11928,0996
NULL;3;42;NULL;NULL;290370,0327;277188,1898;248;13181,8429
NULL;4;42;NULL;NULL;1009049,196;753456,2104;676;255592,9856
NULL;5;42;NULL;NULL;140957,562;132335,1608;123;8622,4012
