ModelName;Color;Size;totalSellAmt;totalCosts;totalQuantity;totalGrossProfite
Mountain-500;Black;40;101734,116;83071,4754;282;18662,6406
Mountain-500;Black;42;136293,476;114296,9236;388;21996,5524
Mountain-500;Black;44;125925,668;103102,895;350;22822,773
Mountain-500;Black;48;157569,082;132266,2853;449;25302,7967
Mountain-500;Black;52;96982,204;80125,6784;272;16856,5256
Mountain-500;Black;NULL;618504,546;512863,2577;1741;105641,2883
Road-750;Black;44;290298,624;225434,1376;656;64864,4864
Road-750;Black;48;578174,3143;534718,7776;1556;43455,5367
Road-750;Black;52;515666,9053;459803,1648;1338;55863,7405
Road-750;Black;58;361145,312;306535,4432;892;54609,8688
Road-750;Black;NULL;1745285,1556;1526491,5232;4442;218793,6324
NULL;Black;NULL;2363789,7016;2039354,7809;6183;324434,9207
Touring-1000;Blue;46;1586953,5752;1484901,7758;1002;102051,7994
Touring-1000;Blue;50;1071401,058;961777,6971;649;109623,3609
Touring-1000;Blue;54;743353,026;612040,3527;413;131312,6733
Touring-1000;Blue;60;1721242,5174;1659770,448;1120;61472,0694
Touring-1000;Blue;NULL;5122950,1766;4718490,2736;3184;404459,903
Touring-2000;Blue;46;438867,4777;406271,1304;538;32596,3473
Touring-2000;Blue;50;286218,66;243158,5576;322;43060,1024
Touring-2000;Blue;54;772302,0077;762702,308;1010;9599,6997
Touring-2000;Blue;60;635723,7145;619223,656;820;16500,0585
Touring-2000;Blue;NULL;2133111,8599;2031355,652;2690;101756,2079
Touring-3000;Blue;44;133365,0353;134741,8816;292;-1376,8463
Touring-3000;Blue;50;348581,5098;388075,0768;841;-39493,567
Touring-3000;Blue;54;290075,1233;316551,1328;686;-26476,0095
Touring-3000;Blue;58;210946,1792;222416,3936;482;-11470,2144
Touring-3000;Blue;62;135284,0095;129665,9888;281;5618,0207
Touring-3000;Blue;NULL;1118251,8571;1191450,4736;2582;-73198,6165
NULL;Blue;NULL;8374313,8936;7941296,3992;8456;433017,4944
Mountain-400-W;Silver;38;241773,758;178405,82;425;63367,938
Mountain-400-W;Silver;40;323703,8203;259003,2728;617;64700,5475
Mountain-400-W;Silver;42;217457,874;161614,684;385;55843,19
Mountain-400-W;Silver;46;227347,6671;168331,1384;401;59016,5287
Mountain-400-W;Silver;NULL;1010283,1194;767354,9152;1828;242928,2042
Mountain-500;Silver;40;145089,432;138698,055;450;6391,377
Mountain-500;Silver;42;141360,498;140239,1445;455;1121,3535
Mountain-500;Silver;44;122512,4316;117431,0199;381;5081,4117
Mountain-500;Silver;48;142897,2708;140855,5803;457;2041,6905
Mountain-500;Silver;52;161293,3452;158732,2185;515;2561,1267
Mountain-500;Silver;NULL;713152,9776;695956,0182;2258;17196,9594
NULL;Silver;NULL;1723436,097;1463310,9334;4086;260125,1636
Road-350-W;Yellow;40;1657198,1829;1598867,27;1477;58330,9129
Road-350-W;Yellow;42;1120066,3643;1021889,44;944;98176,9243
Road-350-W;Yellow;44;694003,92;580225,36;536;113778,56
Road-350-W;Yellow;48;1774883,5562;1755831,22;1622;19052,3362
Road-350-W;Yellow;NULL;5246152,0234;4956813,29;4579;289338,7334
Touring-1000;Yellow;46;1426372,8696;1489347,5895;1005;-62974,7199
Touring-1000;Yellow;50;981187,8492;966223,5108;652;14964,3384
Touring-1000;Yellow;54;667158,1488;588329,3463;397;78828,8025
Touring-1000;Yellow;60;1518133,1028;1650878,8206;1114;-132745,7178
Touring-1000;Yellow;NULL;4592851,9704;4694779,2672;3168;-101927,2968
Touring-3000;Yellow;44;358121,8932;392689,5248;851;-34567,6316
Touring-3000;Yellow;50;291747,2666;316551,1328;686;-24803,8662
Touring-3000;Yellow;54;196809,9791;209034,4944;453;-12224,5153
Touring-3000;Yellow;58;130898,5776;135203,3264;293;-4304,7488
Touring-3000;Yellow;62;351547,716;389459,4112;844;-37911,6952
Touring-3000;Yellow;NULL;1329125,4325;1442937,8896;3127;-113812,4571
NULL;Yellow;NULL;11168129,4263;11094530,4468;10874;73598,9795
Mountain-400-W;NULL;NULL;1010283,1194;767354,9152;1828;242928,2042
Mountain-500;NULL;NULL;1331657,5236;1208819,2759;3999;122838,2477
Road-350-W;NULL;NULL;5246152,0234;4956813,29;4579;289338,7334
Road-750;NULL;NULL;1745285,1556;1526491,5232;4442;218793,6324
Touring-1000;NULL;NULL;9715802,147;9413269,5408;6352;302532,6062
Touring-2000;NULL;NULL;2133111,8599;2031355,652;2690;101756,2079
Touring-3000;NULL;NULL;2447377,2896;2634388,3632;5709;-187011,0736
