Name,Size,Color,Class,Weight,StandardCost,isDiscounted,OrderYear,AveliablePeriod,PercentProfit,Black,Silver,Red,Yellow,Blue,H,L,M,LessThanYAveliable,OneYAbvl,TwoYaveliable,2011Orders,2012Orders,2013Orders,2014Orders,Mountain Bikes,Road Bikes,Touring Bikes
Mountain Bikes,38,Silver,H ,23.35,1265.6195,0,2014,2,0.833,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Mountain Bikes,42,Silver,H ,23.77,1265.6195,0,2013,1,0.833,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Mountain Bikes,42,Black,H ,23.77,1251.9813,0,2014,2,0.833,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Mountain Bikes,38,Black,H ,23.35,1251.9813,0,2014,2,0.833,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Mountain Bikes,42,Silver,H ,23.77,1265.6195,0,2014,2,0.833,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Mountain Bikes,38,Silver,M ,26.35,419.7784,0,2014,1,0.833,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
Mountain Bikes,38,Silver,H ,23.35,1265.6195,0,2014,2,0.833,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Mountain Bikes,40,Black,L ,27.35,294.5797,0,2014,1,0.833,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
Mountain Bikes,44,Silver,L ,28.13,308.2179,0,2014,1,0.833,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
Mountain Bikes,46,Silver,M ,27.42,419.7784,0,2014,1,0.833,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
Mountain Bikes,46,Black,H ,24.13,1251.9813,0,2014,2,0.833,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Mountain Bikes,42,Silver,H ,23.77,1265.6195,0,2013,1,0.833,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Mountain Bikes,38,Silver,H ,23.35,1265.6195,0,2013,1,0.833,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
