Name;Color;Size;UnitPriceDiscount;MonthsFromMay;MonthOfSale;YearsOfAveliability;Weight;Class;StanstadCost;ListPrice;FinalSellPrice;PriceToCost;OrdersQuantity;YearsOfAnalyze
Mountain Bikes;Black;38;0,05;10;3;1;23.35;"H ";1251,9813;2294,99;1199,1323;0,9577;16;06.2013-06.2014
Mountain Bikes;Black;38;0,05;2;7;1;23.35;"H ";1251,9813;2294,99;1199,1323;0,9577;17;06.2013-06.2014
Mountain Bikes;Black;38;0,05;4;9;1;23.35;"H ";1251,9813;2294,99;1199,1323;0,9577;15;06.2013-06.2014
Mountain Bikes;Black;38;0,02;8;1;1;23.35;"H ";1251,9813;2294,99;1304,4723;1,0419;11;06.2013-06.2014
Mountain Bikes;Black;38;0,02;10;3;1;23.35;"H ";1251,9813;2294,99;1304,4723;1,0419;12;06.2013-06.2014
Mountain Bikes;Black;38;0,02;1;6;1;23.35;"H ";1251,9813;2294,99;1304,4723;1,0419;35;06.2013-06.2014
Mountain Bikes;Black;38;0,02;2;7;1;23.35;"H ";1251,9813;2294,99;1304,4723;1,0419;12;06.2013-06.2014
Mountain Bikes;Black;38;0,00;8;1;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;95;06.2013-06.2014
Mountain Bikes;Black;38;0,00;10;3;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;149;06.2013-06.2014
Mountain Bikes;Black;38;0,00;12;5;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;121;06.2013-06.2014
Mountain Bikes;Black;38;0,00;1;6;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;117;06.2013-06.2014
Mountain Bikes;Black;38;0,00;2;7;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;113;06.2013-06.2014
Mountain Bikes;Black;38;0,00;3;8;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;61;06.2013-06.2014
Mountain Bikes;Black;38;0,00;4;9;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;118;06.2013-06.2014
Mountain Bikes;Black;38;0,00;5;10;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;106;06.2013-06.2014
Mountain Bikes;Black;38;0,00;6;11;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;48;06.2013-06.2014
Mountain Bikes;Black;38;0,00;7;12;1;23.35;"H ";1251,9813;2294,99;1376,994;1,0998;89;06.2013-06.2014
Mountain Bikes;Black;38;0,00;8;1;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;44;06.2013-06.2014
Mountain Bikes;Black;38;0,00;9;2;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;32;06.2013-06.2014
Mountain Bikes;Black;38;0,00;10;3;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;42;06.2013-06.2014
Mountain Bikes;Black;38;0,00;11;4;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;52;06.2013-06.2014
Mountain Bikes;Black;38;0,00;12;5;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;43;06.2013-06.2014
Mountain Bikes;Black;38;0,00;1;6;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;29;06.2013-06.2014
Mountain Bikes;Black;38;0,00;2;7;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;16;06.2013-06.2014
Mountain Bikes;Black;38;0,00;3;8;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;28;06.2013-06.2014
Mountain Bikes;Black;38;0,00;4;9;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;18;06.2013-06.2014
Mountain Bikes;Black;38;0,00;5;10;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;28;06.2013-06.2014
Mountain Bikes;Black;38;0,00;6;11;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;41;06.2013-06.2014
Mountain Bikes;Black;38;0,00;7;12;1;23.35;"H ";1251,9813;2294,99;2294,99;1,833;41;06.2013-06.2014
Mountain Bikes;Black;40;0,00;8;1;0;27.35;"L ";294,5797;539,99;323,994;1,0998;18;06.2013-06.2014
Mountain Bikes;Black;40;0,00;10;3;0;27.35;"L ";294,5797;539,99;323,994;1,0998;42;06.2013-06.2014
Mountain Bikes;Black;40;0,00;12;5;0;27.35;"L ";294,5797;539,99;323,994;1,0998;18;06.2013-06.2014
Mountain Bikes;Black;40;0,00;1;6;0;27.35;"L ";294,5797;539,99;323,994;1,0998;16;06.2013-06.2014
Mountain Bikes;Black;40;0,00;2;7;0;27.35;"L ";294,5797;539,99;323,994;1,0998;21;06.2013-06.2014
