Size,YearsOfAveliability,Weight,StanstadCost,ListPrice,FinalSellPrice,PriceToCost,OrdersQuantity,Black,Silver,Red,Yellow,Blue,H,L,M,isNew,2011Sales,2012Sales,2013Sales,Mountain Bikes,Road Bikes,Touring Bikes,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Isdiscounted,IsPriceHigherThanCosts
38,0,20.35,1898.0944,3374.99,548.4359,0.2889,70,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
38,0,20.35,1898.0944,3374.99,1918.3443,1.0106,12,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,0,20.35,1898.0944,3374.99,1918.3443,1.0106,13,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
38,0,20.35,1898.0944,3374.99,1918.3443,1.0106,11,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38,0,20.35,1898.0944,3374.99,2024.994,1.0668,129,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,0,20.35,1898.0944,3374.99,2024.994,1.0668,28,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38,0,20.35,1898.0944,3374.99,2024.994,1.0668,61,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,0,20.35,1898.0944,3374.99,2024.994,1.0668,22,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,0,20.35,1898.0944,3374.99,2024.994,1.0668,55,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
38,0,20.35,1898.0944,3374.99,2024.994,1.0668,81,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,0,20.35,1898.0944,3374.99,2024.994,1.0668,130,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
